order_id;position_no;quantity;login;factory
1062124;0;1;2025-02-18 15:31:21;Düsseldorf
1062124;0;0;2025-02-18 15:31:21;Düsseldorf
1062256;1;1;2025-02-19 16:23:37;Düsseldorf
1062349;1;1;2025-02-20 12:21:32;Düsseldorf
1062729;1;70;2025-02-25 14:07:56;Düsseldorf
1063049;1;1;2025-02-28 12:32:41;Düsseldorf
1063049;1;1;2025-02-28 12:32:41;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;0;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063199;1;1;2025-03-04 10:59:48;Düsseldorf
1063433;1;2;2025-03-06 09:48:43;Düsseldorf
1063433;2;10;2025-03-06 09:48:43;Düsseldorf
1063433;1;1;2025-03-06 09:48:43;Düsseldorf
1063433;2;2;2025-03-06 09:48:43;Düsseldorf
1063433;3;6;2025-03-06 09:48:43;Düsseldorf
1063433;4;5;2025-03-06 09:48:43;Düsseldorf
1063433;5;5;2025-03-06 09:48:43;Düsseldorf
1063433;6;6;2025-03-06 09:48:43;Düsseldorf
1063498;0;1;2025-03-06 14:29:29;Düsseldorf
1063498;0;1;2025-03-06 14:29:29;Düsseldorf
1063768;1;3;2025-03-10 14:09:26;Düsseldorf
1064128;1;1;2025-03-13 10:49:16;Düsseldorf
1064128;1;7;2025-03-13 10:49:16;Düsseldorf
1064128;2;1;2025-03-13 10:49:16;Düsseldorf
1064128;1;5;2025-03-13 10:49:16;Düsseldorf
1064128;2;5;2025-03-13 10:49:16;Düsseldorf
1064128;1;1;2025-03-13 10:49:16;Düsseldorf
1064128;1;2;2025-03-13 10:49:16;Düsseldorf
1064128;1;1;2025-03-13 10:49:16;Düsseldorf
1064128;1;1;2025-03-13 10:49:16;Düsseldorf
1064138;1;1;2025-03-13 11:06:39;Düsseldorf
1064138;1;1;2025-03-13 11:06:39;Düsseldorf
1064138;1;1;2025-03-13 11:06:39;Düsseldorf
1064138;1;1;2025-03-13 11:06:39;Düsseldorf
1064138;1;1;2025-03-13 11:06:39;Düsseldorf
1064138;1;1;2025-03-13 11:06:39;Düsseldorf
1064301;1;1;2025-03-14 11:57:47;Düsseldorf
1064301;1;1;2025-03-14 11:57:47;Düsseldorf
1064304;1;1;2025-03-14 12:03:42;Düsseldorf
1064304;1;1;2025-03-14 12:03:42;Düsseldorf
1064757;1;1;2025-03-19 14:32:23;Düsseldorf
1064856;1;1;2025-03-20 12:09:06;Düsseldorf
1065179;1;2;2025-03-25 09:14:29;Düsseldorf
1065194;1;4;2025-03-25 09:30:31;Düsseldorf
1065307;1;910;2025-03-26 07:34:32;Düsseldorf
1065307;1;1100;2025-03-26 07:34:32;Düsseldorf
1065350;1;3;2025-03-26 09:33:06;Düsseldorf
1065434;1;0;2025-03-26 14:15:56;Düsseldorf
1065629;1;1;2025-03-28 10:43:58;Düsseldorf
1065674;0;5;2025-03-28 13:49:24;Düsseldorf
1065776;1;4;2025-03-31 11:16:30;Düsseldorf
1065936;1;1;2025-04-01 13:40:28;Düsseldorf
1065936;1;1;2025-04-01 13:40:28;Düsseldorf
1066349;1;1;2025-04-04 12:25:01;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066395;0;1;2025-04-04 16:00:18;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;0;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;0;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;1;2025-04-07 15:58:04;Düsseldorf
1066539;1;0;2025-04-07 15:58:04;Düsseldorf
1066736;1;3;2025-04-09 10:57:12;Düsseldorf
1066813;1;1;2025-04-09 15:40:36;Düsseldorf
1067080;0;10;2025-04-11 13:44:32;Düsseldorf
1067091;0;1;2025-04-11 14:41:54;Düsseldorf
1067133;1;1;2025-04-14 08:42:56;Düsseldorf
1067183;2;907;2025-04-14 11:40:06;Düsseldorf
1067183;0;1727;2025-04-14 11:40:06;Düsseldorf
1067183;0;0;2025-04-14 11:40:06;Düsseldorf
1067183;0;0;2025-04-14 11:40:06;Düsseldorf
1067206;1;1;2025-04-14 13:07:00;Düsseldorf
1067311;1;1;2025-04-15 12:26:27;Düsseldorf
1067311;1;0;2025-04-15 12:26:27;Düsseldorf
1067311;1;3;2025-04-15 12:26:27;Düsseldorf
1067323;1;10;2025-04-15 13:11:43;Düsseldorf
1067323;2;3;2025-04-15 13:11:43;Düsseldorf
1067323;3;3;2025-04-15 13:11:43;Düsseldorf
1067323;4;1;2025-04-15 13:11:43;Düsseldorf
1067357;1;8;2025-04-15 14:33:11;Düsseldorf
1067442;0;9;2025-04-16 11:41:55;Düsseldorf
1067442;1;0;2025-04-16 11:41:55;Düsseldorf
1067442;2;0;2025-04-16 11:41:55;Düsseldorf
1067442;0;0;2025-04-16 11:41:55;Düsseldorf
1067561;1;3;2025-04-17 10:09:16;Düsseldorf
1067562;1;1;2025-04-17 10:13:04;Düsseldorf
1067914;1;1;2025-04-23 15:11:21;Düsseldorf
1067924;0;12;2025-04-23 15:50:28;Düsseldorf
1067978;1;7;2025-04-24 10:33:38;Düsseldorf
1067978;2;8;2025-04-24 10:33:38;Düsseldorf
1068004;1;0;2025-04-24 12:04:33;Düsseldorf
1068066;1;2;2025-04-24 16:30:10;Düsseldorf
1068073;1;10;2025-04-24 16:57:25;Düsseldorf
1068073;2;5;2025-04-24 16:57:25;Düsseldorf
1068075;1;229;2025-04-24 17:26:41;Düsseldorf
1068075;2;18;2025-04-24 17:26:41;Düsseldorf
1068075;1;0;2025-04-24 17:26:41;Düsseldorf
1068604;1;1;2025-04-30 14:58:11;Düsseldorf
1068604;2;2;2025-04-30 14:58:11;Düsseldorf
1068633;1;50;2025-05-02 07:06:08;Düsseldorf
1068772;1;8;2025-05-05 10:51:01;Düsseldorf
1068772;1;2;2025-05-05 10:51:01;Düsseldorf
1069034;1;0;2025-05-06 16:10:40;Düsseldorf
1069129;1;6;2025-05-07 12:51:38;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;0;1;2025-05-08 16:05:31;Düsseldorf
1069309;0;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069309;1;1;2025-05-08 16:05:31;Düsseldorf
1069351;1;20;2025-05-09 08:42:21;Düsseldorf
1069351;1;2;2025-05-09 08:42:21;Düsseldorf
1069351;2;3;2025-05-09 08:42:21;Düsseldorf
1069391;1;2;2025-05-09 11:07:13;Düsseldorf
1069546;1;0;2025-05-12 11:44:25;Düsseldorf
1069546;1;1;2025-05-12 11:44:25;Düsseldorf
1069581;1;10;2025-05-12 13:52:25;Düsseldorf
1069581;1;0;2025-05-12 13:52:25;Düsseldorf
1069581;1;6;2025-05-12 13:52:25;Düsseldorf
1069581;1;5;2025-05-12 13:52:25;Düsseldorf
1069581;2;30;2025-05-12 13:52:25;Düsseldorf
1069581;3;20;2025-05-12 13:52:25;Düsseldorf
1069581;1;10;2025-05-12 13:52:25;Düsseldorf
1069581;1;10;2025-05-12 13:52:25;Düsseldorf
1069624;1;1;2025-05-12 15:37:23;Düsseldorf
1069627;1;1;2025-05-12 15:48:04;Düsseldorf
1069633;1;1;2025-05-12 16:21:07;Düsseldorf
1069692;1;1;2025-05-13 10:09:11;Düsseldorf
1069748;1;1;2025-05-13 12:53:58;Düsseldorf
1069748;1;1;2025-05-13 12:53:58;Düsseldorf
1069748;1;1;2025-05-13 12:53:58;Düsseldorf
1069748;2;1;2025-05-13 12:53:58;Düsseldorf
1069748;1;1;2025-05-13 12:53:58;Düsseldorf
1069748;2;1;2025-05-13 12:53:58;Düsseldorf
1069748;3;1;2025-05-13 12:53:58;Düsseldorf
