aid;company;keyword_list;language;seperator
3011-white-XL;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-L;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-XXXL;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-XXL;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-XS;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-M;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-4XL;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-5XL;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3011-white-S;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";de;,
3075-steel grey-M;0;;de;,
3075-steel grey-XXXL;0;;de;,
3075-steel grey-XXL;0;;de;,
3075-steel grey-S;0;;de;,
3075-steel grey-L;0;;de;,
3075-royal-XXXL;0;;de;,
3075-royal-XXL;0;;de;,
3075-royal-XL;0;;de;,
3075-royal-S;0;;de;,
3075-royal-M;0;;de;,
3075-royal-L;0;;de;,
3075-steel grey-XL;0;;de;,
3077-steel grey-5XL;0;;de;,
3077-royal-XXL;0;;de;,
3077-steel grey-XXXL;0;;de;,
3077-steel grey-XXL;0;;de;,
3077-steel grey-XL;0;;de;,
3077-steel grey-S;0;;de;,
3077-steel grey-M;0;;de;,
3077-steel grey-L;0;;de;,
3077-royal-XXXL;0;;de;,
3077-steel grey-4XL;0;;de;,
3077-royal-XL;0;;de;,
3077-royal-S;0;;de;,
3077-royal-M;0;;de;,
3077-royal-L;0;;de;,
3077-royal-5XL;0;;de;,
3077-royal-4XL;0;;de;,
3084-steel grey-L;0;;de;,
3084-steel grey-S;0;;de;,
3084-berry-S;0;;de;,
3084-berry-L;0;;de;,
3088-steel grey-One Size;0;"mütze;beanie;kopfbedeckung";de;,
3089-steel grey-One Size;0;"scarf;schal";de;,
3100-graphite-S;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-XXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-XS;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-XXXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-S;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-M;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-L;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-light blue-5XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
